user_id,parent_asin,rating,timestamp
AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,B00HLSSQKK,5.0,1608046142433
AHORTSSMI6ZZFUFWMPT4UFR2ISUQ,B002PXW04Y,4.0,1470972512000
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B0000ARXXS,5.0,1181880255000
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B00HCR5090,5.0,1396827173000
AFUB7CHTXRPD447QVQCHBZVN2IPQ,B0025ZOVEO,1.0,1591046680246
AFPHKIJFGIU4G4POXRFCEF5RJJHA,B001THPA4Y,5.0,1427767342000
AFPHKIJFGIU4G4POXRFCEF5RJJHA,B002WWMCAA,2.0,1427767395000
AGRUKTHXESHTPHHK4GQYQNRFZP3A,B00005R8BR,5.0,1673733658264
AEYVXZF5TQB7IGLLS3HJTDWLSKJQ,B002PXVZ5O,5.0,1635870688031
AEYGPUCRKH7G4VM22FM3VAKSQ23Q,B00006KSSX,5.0,1362707862000
AF3I5VHFNDTD3CUFMEPULGWMAMKA,B000W3MB5M,5.0,1297349497000
AES64NEMPYRENBT6PGCOYYBVDSWQ,B000FTJ7JQ,5.0,1434475361000
AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01FV50UIK,5.0,1640114182641
AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01IAIX74Y,5.0,1641846419925
AHWAIBCVNSK4HAJFE5DNRP636L2A,B002PXVYEQ,5.0,1455837988000
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,B001C4Q06G,5.0,1266896366000
AEICZD35OTDYVWA2KPYWN4PDZ2SA,B01LZQEACQ,1.0,1522524767175
AEICZD35OTDYVWA2KPYWN4PDZ2SA,B01LY3VKMY,1.0,1522546622444
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B00005Q7DJ,5.0,1127183434000
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B000063XJL,2.0,1127183958000
AHBIEPRTTYN6PDTDNDIQJKKETJIQ,B0037STB02,5.0,1494784462000
